N	MC est. error	MC actual error	Value
1000	1.231270E-001	3.087190E-002	3.114924273
1009	1.257791E-001	1.021667E-001	3.186219113
1019	1.240778E-001	4.074867E-003	3.079977510
1028	1.170222E-001	1.074763E-001	2.976576109
1038	1.205863E-001	7.022013E-002	3.013832242
1047	1.194752E-001	7.957985E-002	3.163632223
1057	1.225337E-001	8.677854E-002	3.170830916
1067	1.182936E-001	8.673404E-002	2.997318334
1076	1.238907E-001	1.552271E-001	3.239279471
1086	1.249794E-001	1.856992E-001	3.269751615
1096	1.212728E-001	1.377713E-001	3.221823647
1107	1.199130E-001	7.722854E-002	3.161280919
1117	1.180577E-001	5.726067E-002	3.026791706
1127	1.184384E-001	1.161437E-002	3.095666749
1138	1.193711E-001	1.186995E-001	3.202751830
1148	1.083586E-001	2.291605E-001	2.854891848
1159	1.165208E-001	1.400410E-001	3.224093366
1169	1.179394E-001	1.374618E-001	3.221514141
1180	1.124031E-001	2.874533E-002	3.055307045
1191	1.126874E-001	1.321511E-001	2.951901261
1202	1.140825E-001	2.094431E-003	3.086146808
1213	1.133497E-001	1.113737E-001	3.195426086
1225	1.121747E-001	2.019076E-002	3.104243142
1236	1.133243E-001	2.067858E-001	3.290838128
1247	1.156634E-001	1.779542E-001	3.262006594
1259	1.104383E-001	3.338642E-002	3.117438793
1271	1.141514E-001	1.728225E-001	3.256874899
1282	1.105190E-001	8.507133E-002	3.169123709
1294	1.106592E-001	3.814896E-002	3.045903420
1306	1.073590E-001	1.109134E-001	3.194965778
1318	1.073077E-001	1.775078E-002	3.066301597
1330	1.091848E-001	7.477154E-002	3.158823913
1343	1.045671E-001	7.922341E-002	3.004828967
1355	1.051206E-001	2.184312E-003	3.081868065
1368	1.036629E-001	1.788198E-001	2.905232560
1380	1.101623E-001	1.988980E-001	3.282950332
1393	1.057442E-001	2.765443E-002	3.111706811
1406	1.035407E-001	5.361647E-003	3.089414024
1419	1.057191E-001	1.840588E-001	3.268111176
1432	1.055305E-001	9.186414E-003	3.074865963
1445	1.039374E-001	6.213066E-002	3.146183039
1459	1.060767E-001	1.019189E-001	3.185971249
1472	1.024462E-001	1.416533E-001	3.225705712
1486	1.011786E-001	5.910189E-002	3.143154263
1500	9.884487E-002	9.434737E-002	2.989705003
1514	1.017347E-001	4.698472E-002	3.131037093
1528	1.025284E-001	1.090740E-001	3.193126423
1542	9.800875E-002	9.963320E-003	3.074089057
1556	1.010851E-001	1.321872E-001	3.216239620
1570	1.011654E-001	1.802508E-001	3.264303221
1585	9.693805E-002	6.781982E-002	3.016232553
1600	9.544030E-002	3.363352E-002	3.050418858
1614	9.750613E-002	5.991549E-002	3.024136888
1629	9.543433E-002	1.096715E-001	2.974380862
1644	1.008042E-001	2.180544E-001	3.302106776
1660	9.797052E-002	8.276549E-002	3.166817870
1675	9.681884E-002	1.195005E-001	3.203552919
1690	9.613441E-002	2.256128E-003	3.086308505
1706	9.306965E-002	2.681566E-003	3.086733943
1722	9.395253E-002	1.574706E-003	3.082477671
1738	9.520595E-002	9.298617E-004	3.084982239
1754	9.422731E-002	6.795532E-002	3.152007694
1770	9.602924E-002	1.276910E-001	3.211743386
1786	9.076776E-002	3.132855E-002	3.115380929
1803	9.182690E-002	4.771983E-002	3.131772206
1820	9.002692E-002	3.575117E-002	3.048301205
1837	9.069672E-002	5.138794E-002	3.135440316
1854	9.119222E-002	9.975695E-002	3.183809331
1871	9.029554E-002	5.101537E-002	3.033037008
1888	9.121256E-002	1.113916E-001	3.195443938
1905	8.647636E-002	1.101666E-001	2.973885823
1923	8.907789E-002	3.819426E-002	3.122246634
1941	9.002638E-002	5.106383E-002	3.032988549
1959	8.723016E-002	5.240149E-002	3.031650888
1977	8.676312E-002	3.866903E-002	3.045383344
1995	8.426968E-002	1.150635E-001	2.968988906
2014	8.906483E-002	1.540885E-001	3.238140877
2032	8.614482E-002	5.259458E-002	3.136646954
2051	8.882412E-002	6.797678E-002	3.152029162
2070	8.467045E-002	1.468892E-002	3.069363454
2089	8.617347E-002	7.113009E-002	3.155182463
2109	8.589730E-002	1.113414E-001	3.195393765
2128	8.435481E-002	9.049647E-003	3.075002730
2148	8.722809E-002	1.134277E-001	3.197480032
2168	8.281532E-002	7.757400E-002	3.161626376
2188	8.251058E-002	8.473163E-002	2.999320744
2208	8.199340E-002	1.333003E-001	2.950752066
2228	8.329050E-002	5.559197E-002	3.139644344
2249	8.444759E-002	1.223792E-001	3.206431535
2270	7.973411E-002	1.424090E-001	2.941643406
2291	7.974394E-002	3.652958E-002	3.047522796
2312	8.041573E-002	1.408557E-002	3.098137945
2333	8.272997E-002	1.264212E-001	3.210473606
2355	8.217818E-002	8.495455E-002	3.169006924
2377	7.901787E-002	1.642187E-002	3.067630502
2399	8.165487E-002	9.042467E-002	3.174477051
2421	7.857964E-002	6.001527E-002	3.024037111
2443	7.767730E-002	1.996566E-002	3.064086714
2466	7.967077E-002	4.743710E-002	3.131489478
2489	8.214746E-002	2.290550E-001	3.313107347
2512	7.724686E-002	2.343947E-002	3.107491850
2535	7.588833E-002	1.187384E-001	2.965313980
