N	MC est. error	MC actual error	Value
2639	3.074495E-002	8.538726E-002	3.226980
2640	3.146685E-002	3.568007E-002	3.177273
2641	3.139188E-002	4.053533E-002	3.182128
2642	3.213196E-002	1.365927E-002	3.127933
2643	3.255453E-002	4.662481E-002	3.094968
2644	3.225084E-002	2.358963E-002	3.118003
2645	3.115453E-002	5.538277E-002	3.196975
2646	3.172178E-002	1.486993E-002	3.156463
2647	3.243521E-002	3.921260E-002	3.102380
2648	3.163837E-002	2.003877E-002	3.161631
2649	3.130922E-002	4.300531E-002	3.184598
2650	3.192716E-002	1.970012E-003	3.139623
2651	3.145975E-002	3.154956E-002	3.173142
2652	3.129986E-002	4.241941E-002	3.184012
2653	3.187565E-002	5.106257E-004	3.142103
2654	3.108402E-002	5.659876E-002	3.198191
2655	3.167009E-002	1.471620E-002	3.156309
2656	3.147167E-002	2.858807E-002	3.170181
2657	3.217448E-002	2.379062E-002	3.117802
2658	3.086671E-002	6.984452E-002	3.211437
2659	3.175231E-002	6.959434E-003	3.148552
2660	3.172150E-002	8.783286E-003	3.150376
2661	3.199428E-002	1.194215E-002	3.129651
2662	3.145204E-002	2.745318E-002	3.169046
2663	3.191359E-002	6.782289E-003	3.134810
2664	3.208218E-002	1.997103E-002	3.121622
2665	3.295652E-002	9.018552E-002	3.051407
2666	3.180212E-002	1.927928E-004	3.141785
2667	3.241855E-002	4.747942E-002	3.094113
2668	3.223587E-002	3.364663E-002	3.107946
2669	3.162891E-002	1.164826E-002	3.153241
2670	3.111570E-002	4.792046E-002	3.189513
2671	3.097610E-002	5.720929E-002	3.198802
2672	3.236675E-002	4.578427E-002	3.095808
2673	3.150576E-002	1.890117E-002	3.160494
2674	3.225079E-002	3.762855E-002	3.103964
2675	3.154699E-002	1.504286E-002	3.156636
2676	3.130894E-002	3.180047E-002	3.173393
2677	3.208495E-002	2.616494E-002	3.115428
2678	3.161830E-002	8.519370E-003	3.150112
2679	3.210311E-002	2.849075E-002	3.113102
2680	3.175889E-002	2.786683E-003	3.138806
2681	3.129990E-002	3.035811E-002	3.171951
2682	3.114292E-002	4.110682E-002	3.182699
2683	3.206206E-002	2.716850E-002	3.114424
2684	3.151651E-002	1.339989E-002	3.154993
2685	3.178736E-002	7.142002E-003	3.134451
2686	3.053971E-002	8.104324E-002	3.222636
2687	3.125990E-002	3.071847E-002	3.172311
2688	3.086928E-002	5.781211E-002	3.199405
2689	3.146574E-002	1.497112E-002	3.156564
2690	3.212462E-002	3.527295E-002	3.106320
2691	3.201877E-002	2.750867E-002	3.114084
2692	3.218002E-002	4.055253E-002	3.101040
2693	3.197913E-002	2.536540E-002	3.116227
