0 0
3,80071044604633E-05 0
0,0112281319183378 1,41552874916677E-06
0,0112614179911406 1,42815529031704E-06
0,0112947041052755 1,44085671066802E-06
0,0113279902608652 1,45363323182549E-06
0,0113612764580328 1,46648507539798E-06
0,0113945626969011 1,4794124629968E-06
0,011427848977593 1,49241561623604E-06
0,0114611353002313 1,50549475673257E-06
0,011494421664939 1,51865010610605E-06
0,011527708071839 1,53188188597896E-06
0,011560994521054 1,54519031797658E-06
0,0115942810127071 1,55857562372702E-06
0,011627567546921 1,5720380248612E-06
0,0116608541238188 1,58557774301289E-06
0,0116941407435232 1,5991949998187E-06
0,0117274274061571 1,6128900169181E-06
0,0117607141118435 1,62666301595342E-06
0,0117940008607052 1,64051421856985E-06
0,0118272876528651 1,65444384641546E-06
0,0118605744884461 1,66845212114121E-06
0,011893861367571 1,68253926440095E-06
0,0119271482903629 1,69670549785143E-06
0,0119604352569445 1,71095104315231E-06
0,0119937222674387 1,72527612196618E-06
0,0120270093219685 1,73968095595855E-06
0,0120602964206567 1,75416576679784E-06
0,0120935835636261 1,76873077615546E-06
0,0121268707509998 1,78337620570573E-06
0,0121601579829006 1,79810227712595E-06
0,0121934452594513 1,81290921209638E-06
0,0122267325807749 1,82779723230025E-06
0,0122600199469942 1,84276655942379E-06
0,0122933073582321 1,8578174151562E-06
0,0123265948146116 1,87295002118971E-06
0,0123598823162555 1,88816459921953E-06
0,0123931698632867 1,90346137094389E-06
0,0124264574558281 1,91884055806406E-06
0,0124597450940025 1,93430238228433E-06
0,012493032777933 1,94984706531204E-06
0,0125263205077422 1,96547482885757E-06
0,0125596082835533 1,98118589463436E-06
0,012592896105489 1,99698048435891E-06
0,0126261839736722 2,01285881975082E-06
0,0126594718882258 2,02882112253272E-06
0,0126927598492728 2,04486761443039E-06
0,0127260478569359 2,06099851717267E-06
0,0127593359113382 2,07721405249151E-06
0,0127926240126024 2,09351444212199E-06
0,0128259121608515 2,1098999078023E-06
0,0128592003562084 2,12637067127376E-06
0,0128924885987959 2,14292695428084E-06
0,012925776888737 2,15956897857114E-06
0,0129590652261546 2,17629696589544E-06
0,0129923536111715 2,19311113800766E-06
0,0130256420439106 2,2100117166649E-06
0,0130589305244949 2,22699892362745E-06
0,0130922190530471 2,24407298065877E-06
0,0131255076296903 2,26123410952553E-06
0,0131587962545473 2,2784825319976E-06
0,013192084927741 2,29581846984807E-06
0,0132253736493943 2,31324214485324E-06
0,0132586624196301 2,33075377879263E-06
0,0132919512385713 2,34835359344903E-06
0,0133252401063407 2,36604181060845E-06
0,0133585290230613 2,38381865206015E-06
0,013391817988856 2,40168433959667E-06
0,0134251070038477 2,41963909501381E-06
0,0134583960681592 2,43768314011065E-06
0,0134916851819135 2,45581669668956E-06
0,0135249743452334 2,4740399865562E-06
0,0135582635582419 2,49235323151952E-06
0,0135915528210618 2,51075665339181E-06
0,0136248421338161 2,52925047398866E-06
0,0136581314966276 2,54783491512898E-06
0,0136914209096192 2,56651019863504E-06
0,0137247103729139 2,58527654633244E-06
0,0137579998866345 2,60413418005013E-06
0,0137912894509039 2,62308332162041E-06
0,013824579065845 2,64212419287898E-06
0,0138578687315808 2,66125701566488E-06
0,0138911584482341 2,68048201182056E-06
0,0139244482159278 2,69979940319186E-06
0,0139577380347848 2,71920941162801E-06
0,0139910279049281 2,73871225898165E-06
0,0140243178264804 2,75830816710884E-06
0,0140576077995648 2,77799735786908E-06
0,0140908978243041 2,79778005312529E-06
0,0141241879008212 2,81765647474382E-06
0,014157478029239 2,83762684459449E-06
0,0141907682096804 2,85769138455058E-06
0,0142240584422684 2,87785031648882E-06
0,0142573487271257 2,89810386228943E-06
0,0142906390643754 2,91845224383609E-06
0,0143239294541403 2,93889568301601E-06
0,0143572198965433 2,95943440171986E-06
0,0143905103917073 2,98006862184184E-06
0,0144238009397552 3,00079856527966E-06
0,01445709154081 3,02162445393455E-06
